127.0.0.1 - - [13/Jul/2022:15:52:12 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:52:14 +0530] "GET /YourSignInPage/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:52:15 +0530] "GET /YourSignInPage/home HTTP/1.1" 200 7784
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:52:15 +0530] "GET /OnlineQuiz/URLReachToMainFolder/css/home.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:52:22 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:52:39 +0530] "GET /YourSignInPage/login HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:52:42 +0530] "GET /YourSignInPage/contact HTTP/1.1" 200 8145
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:52:50 +0530] "GET /YourSignInPage/login HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:52:54 +0530] "GET /YourSignInPage/home HTTP/1.1" 200 7784
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:52:54 +0530] "GET /OnlineQuiz/URLReachToMainFolder/css/home.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:53:40 +0530] "GET /YourSignInPage/register HTTP/1.1" 200 4536
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:54:12 +0530] "POST /YourSignInPage/registerFormHandler HTTP/1.1" 200 3010
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:54:28 +0530] "POST /YourSignInPage/verifyCode HTTP/1.1" 200 1445
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:54:30 +0530] "GET /YourSignInPage/login HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:54:46 +0530] "POST /YourSignInPage/loginFormHandler HTTP/1.1" 200 7108
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:54:48 +0530] "GET /YourSignInPage/javaTest HTTP/1.1" 200 14821
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:55:11 +0530] "POST /YourSignInPage/quizAnswerHandler HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:55:17 +0530] "GET /YourSignInPage/leaderboard HTTP/1.1" 200 4540
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:55:24 +0530] "GET /YourSignInPage/loginSuccessful HTTP/1.1" 200 7109
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:55:26 +0530] "GET /YourSignInPage/home HTTP/1.1" 200 8126
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:55:26 +0530] "GET /OnlineQuiz/URLReachToMainFolder/css/home.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:55:31 +0530] "GET /YourSignInPage/login HTTP/1.1" 200 4318
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:55:44 +0530] "POST /YourSignInPage/loginFormHandler HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:55:46 +0530] "GET /YourSignInPage/javaTest HTTP/1.1" 200 14821
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:56:30 +0530] "POST /YourSignInPage/quizAnswerHandler HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:56:33 +0530] "GET /YourSignInPage/leaderboard HTTP/1.1" 200 4540
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:57:23 +0530] "GET /YourSignInPage/loginSuccessful HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:57:24 +0530] "GET /YourSignInPage/javaTest HTTP/1.1" 200 14821
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:58:03 +0530] "POST /YourSignInPage/quizAnswerHandler HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:58:20 +0530] "GET /YourSignInPage/leaderboard HTTP/1.1" 200 4540
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:58:27 +0530] "GET /YourSignInPage/loginSuccessful HTTP/1.1" 200 7110
0:0:0:0:0:0:0:1 - - [13/Jul/2022:15:58:29 +0530] "GET /YourSignInPage/javaTest HTTP/1.1" 200 14821
0:0:0:0:0:0:0:1 - - [13/Jul/2022:16:00:00 +0530] "POST /YourSignInPage/quizAnswerHandler HTTP/1.1" 200 3772
0:0:0:0:0:0:0:1 - - [13/Jul/2022:16:00:04 +0530] "GET /YourSignInPage/leaderboard HTTP/1.1" 200 4541
0:0:0:0:0:0:0:1 - - [13/Jul/2022:16:00:06 +0530] "GET /YourSignInPage/home HTTP/1.1" 200 8127
0:0:0:0:0:0:0:1 - - [13/Jul/2022:16:00:06 +0530] "GET /OnlineQuiz/URLReachToMainFolder/css/home.css HTTP/1.1" 404 807
